award_key,funding_agency_name,awarding_agency_cd,awarding_agency_name,funding_tas,tas_sub_account,fiscal_year,fiscal_qtr,input_version,award_type,award_date,award_description, award_amount ,local_amount,project_name,project_description,project_status,job_creation,Cost Per Job,number_of_jobs,total_fed_arra_received,total_fed_arra_exp,total_infrastructure_exp,infrastrucutre_rationale,pop_state_cd,pop_country_cd,pop_city,pop_latitude,pop_longitude,vendor_duns
109694,Department of Energy,8900,Department of Energy,89-0328,,2013,4,null,Grant,6/7/2010,"The objective of this project is to support the goal of the Smart Grid Investment Grant Opportunity Announcement to accelerate the modernization of the nation's electric transmission, distribuition, and delivery systems, and promote investments in smart grid technologies which increases flexibility, functionality, interoperabillity, cyber security, situational awareness and operational efficiency. ","18,101,263",15949680,Four Cities Smart Grid Development Project aka Front Range Smart Grid Project,"The Advanced Meter Fort Collins (AMFC) project federal funds are over the 75% expended, invoiced and paid, and any remaining funds will be expended prior to project closeout. Implementation is nearly finished and the remaining activities are primarily data collection and analysis. The actual budget spent is 83%, which includes the City of Fountain. All expenses are based on reimbursements submitted to DOE through 12/31/2013.  Most notable milestones in Q4 2013 were the Web Portal specification requirements document and design completion. These included a significant upgrade on the platform for Fort Collins Utilities? e-Bill system. This platform was necessary to successfully manage both customer authentication and single sign-on capability for e-Bill and the web portal. The web portal phase of the project will be highly visible to our customers as the resource for managing utility consumption and awareness.  For most of our customers, this will be the project phase where customers will  understand and benefit from the prior months of effort on the project.  Other noteworthy activities include the completion of the Demand Response contract and a rough draft of specification and requirement workshops.  The team is working to upgrade the metering head end system to EA_MS version 8.0 in our test network.  Once regression testing and configuration are completed in the test network on the adapter between the head end system and the meter data management system (MDMS), we will be upgrading our production system to version 8.0.  Testing and configuration continues on the meter data management and CIS systems ensuring that all are operating as designed. Special meters/installations that were not completed during mass deployment are being completed by Fort Collins staff.  We have nearly 66,762 electric meters installed to date. The project team continues to take advantage of lessons learned. For more information on the details, please see the Monthly Progress Report.",Completed,"2485.10 FTE Computer related occupations, 135.50 FTE Construction/Electrical Other Trades, 838.30 FTE Business occupations and 162.00 Managers during the 4th quarter of 2013.","5,012.95",3610.9,14069946.29,14069946.29,0,,CO,US,Fort Collins,40.596295,-105.090976,
81848,Office of Elementary and Secondary Education,9146,Office of Elementary and Secondary Education,91-0901,,2013,4,1,Grant,12/3/2009,"Provide support to eligible schools that demostrate the greatest need for the funds and the strongest commitment to use the funds to raise substantially the achievement of their students to enable those schools to make adequate yearly progress. The state may also include any other information, specific to the State, which provides a clear understanding of the overall purpose of the award.","112,421,246",112421246,Section 1003(g) School Improvement Grant (SIG),"During this quarter, the Puerto Rico Department of Education continued the full implementation and final year in 28 SIG Cohort I schools.  As well, we continue implementation of the Transformation Model in 22 Cohort II schools and in 49 TIER III schools. As part of the activities associated with this implementation, academic areas that required improvement as identified in the schools needs assessments were addressed and measured to evaluate progress. School staff received the necessary training and tools in order to integrate the identified academic strategies. Parent and community involvement activities were performed with the purpose of promoting school sustainability. Extended Learning Time continues to be an integral part of a productive and educational school climate, and in order to offer additional learning/academic and enrichment activities. Each activity is designed to address each school population needs, some incorporating parents and school staff as well as the students. The total expense amount is lower than the reported for Q3 due to the closure of 2010-11 funds.The ARRA's expenses incurred in the same availability period of 2010-11 funds were adjusted to this grant in order to maximize the use of the federal funds.  ",Less Than 50% Completed,"Employees assigned to administrative functions to support the successful implementation of the model in SIG Schools and also vendors personnel working on the program. The number stated is an estimate of jobs created in Q4.  Jobs created in Q4 include: Office Technican, Assistant Administrator, ILT Program Coordinator, Academic Material Specialists, General Coordinator, Community Liason, Project Coordinator, General Coordinator, Project Leader, Project Manager, Secretary, Technology Specialist, Administrative Director, among others ","36,488.56",3081,8774120.56,16261684.63,0,,PR,PR,San Juan,18.4271532,-66.06971331,
128618,Federal Financing Bank,8900,Department of Energy,89-0209,,2013,4,null,Loan,9/21/2011,"Loan to construct and operate a concentrated solar power tower in Nye County, Nevada","692,221,000",692221000,"Tonopah Solar Energy, LLC",Heliostat field installation.  Pipe welding.  Salt tank construction.  ,More than 50% Completed,"On-site construction jobs for site erection.  Project management jobs on-site.  Environmental and construction compliance postions.  Legal, finance, and counsulting positions to maintain the DOE loan.","288,041.36",2403.2,555838864.3,555838864.3,555838864.3,"Construction of concentrated solar power tower in Nye County, Nevada to produce energy for sale to NV Energy",NV,US,Tonopah,38.826639,-117.650738,
128509,Department of Energy,8900,Department of Energy,89-4576,,2013,4,null,Loan,9/7/2011,AV Solar Ranch 1 230 MW Photovoltaic Power Plant,"646,000,000",0,Loan GuaranteeProgram,"Site preparation, permitting and construction.",More than 50% Completed,Accountant Administration/Clerical Commissioning/Testing Construction Construction Manager Consultant Crane-Iron Worker EH&S Electrician Electrician-Apprentice Electrician-Journeyman Engineer Engineering Foreman General Foreman General Laborer General Laborer-Lead Inspector Iron Worker IT Janitor Logistics Mechanic Monitor-Biological Monitor-Cultural Non-Exempt Operator-Backhoe Operator-General Painter Procurement Project Controls Project Manager Quality Assurance Security Sound & Communications Tech Superintendent Truck Driver-Water Truck,"455,571.23",1418,446649288.1,446649288.1,0,,CA,US,Lancaster,34.7751,-118.42324,
124513,Federal Railroad Administration,6930,Federal Railroad Administration,69-0718,,2013,4,null,Grant,9/30/2010,"The cooperative agreement covers the preparation of Preliminary Engineering (PE) and Environmental Documents for Phase 1 of the CHSTP as well as initial construction section of the project after ROD/NOD. Specifically, it will help fund the planning and environmental phase through Final Environmental Impact Report (EIR)/Environmental Impact Statement (EIS) documents and signed Notices of Determination and Records of Decision for each geographic section, and develop necessary documents for design/build bids.  The CHSTP will implement a new high-speed rail system, completely grade-separated from road vehicle traffic and operated almost exclusively on separate, dedicated tracks with a top design speed of up to 250 mph and operating speed of up to 220 mph.  The 800-mile statewide program will provide reliable, high-speed, electrified train service between the Bay Area, Central Valley, Sacramento, and Southern California.","2,552,556,231",2552556231,California High-Speed Train Program ARRA Grant,"Key Program Accomplishments (October 1 - December 31, 2013):   * A Request for Proposal (RFQ) was issued to industry in October 2013, for Construction Package 2/3 (CP2/3), a 60-mile section from Fresno south to the Tulare-Kern County line near Bakersfield. In December 2013, the Authority received qualifications from five world class construction teams and is currently assessing the most qualified firms to submit detailed proposals.  * On November 7, the Authority Board approved a Preferred Alignment for the Fresno-Bakersfield environmental section. This represents a key milestone in the environmental process and is the result of detailed studies and engagement with local stakeholders.  *  Following identification of the Fresno ? Bakersfield Preferred Alignment, the Checkpoint C summary document was completed and submitted to the Environmental Protection Agency (EPA) and US Army Corps of Engineers (USACE) on November 12, to obtain concurrence that this is the Least Environmentally Damaging Practicable Alternative (LEDPA).  *  The Authority has advanced plans for the procurement of rolling stock with Amtrak, through the development of joint technical documents and procurement strategies.  *  Preparation of the 2014 Business Plan has reached an advanced stage, with a draft document undergoing internal review during December 2013.  *  The procurement of new Regional Consultant (RC) contracts for the Bakersfield-Palmdale, LA-San Diego and Merced-Sacramento environmental sections is underway, with the announcement of new firms at the October Board meeting.  *  In December 2013, the Authority entered into a strategic agreement with the California Department of Veterans Affairs (CalVet) to help maximize small business participation in the high speed rail project, especially businesses owned by disabled veterans. ",Less Than 50% Completed,"The jobs created are related to PE, NEPA and other associated work in support of the environmental process.  *  Jobs Creation is based on formula calculation provided by Federal Railroad Administration.","1,907,740.08",1338,255166052,255166052,255166052,"Phase 1 of this project includes construction of approximately 520 miles of high-speed rail system between San Francisco and Anaheim.  This will begin with the construction of rail infrastructure for the IOS for Madera County to Bakersfield (Kern County).  This project supports the purpose and rationale of ARRA infrastructure investments by investing in the development of a high-speed rail transportation system that both creates and promotes job growth, protection of the environment and provide long-term economic development benefits to the State of California.",CA,US,Sacramento,38.578953,-121.497618,
115412,Department of Energy,8900,Department of Energy,89-0211,,2013,4,null,Grant,9/27/2010,"Ameren Energy Resources (Ameren) has formed a key group of parties to offer this large scale integrated test of the oxy-combustion advanced clean coal power generation  technology with carbon capture at their Meredosia Plant in west central Illinois. The key group of parties includes B&W and Air Liquide as sub-awardees. This advanced clean coal facility has been designated as the FutureGen 2.0 Oxy-Combustion Large Scale Test Project (the Project).  The primary objective is to design, construct and operate an oxy-combustion power generation facility which is fully integrated with the FutureGen 2.0 Pipeline and Regional CO2 Storage Reservoir Project. This oxy-combustion coal-fired test plant will: ? Be the first-of-a-kind commercial scale oxy-fired coal plant in the world  ? Exhibit the full integration of an innovative air separation unit and a CO2 compression and purification unit into a full scale utility application for electric power generation ? Repower an existing 200 megawatt plant with the oxy-combustion technology ? Validate the technical and financial feasibility of the use of the oxy-combustion technology for utility power plant applications  ? Be a Near Zero Emissions Plant (NZEP) ? Treat 100% of the flue gas and remove 90+% of the CO2 resulting in the capture of approximately 1.3 million tonnes (1.3MMT) per year of CO2 from the plant ? Show progress toward the overall CCS program goal of no more than a 35% percent increase in the cost of electricity ? Support the State of Illinois? goals regarding the deployment of Clean Coal Facilities in the State  ? Support the regional CO2 sequestration objectives in Illinois ? Generate 300 to 500 construction jobs over a 3-4 year period and create and preserve permanent well paying jobs in management, operations and maintenance of the plant ? Demonstrate that Illinois coal can be an environmentally clean domestic energy option for base load electric generation that will save well paying mining, manufacturing, engineering and construction jobs in the power generation business as well as local and national jobs that support these industries with cars, trucks, mining equipment, housing and other basic needs  In 2006 B&W and AL initiated the largest scale demonstration of oxy-coal combustion in the world.  Modifications to B&W?s 100 MBtu/hr (30 MWth) Clean Environment Development Facility (CEDF) were completed in late summer of 2007 and the first full oxy-coal operation at this scale in the world was achieved on October 8, 2007.  Successful testing of bituminous, sub-bituminous and lignite coals at the oxy-combustion test facility gave B&W and Air Liquide the confidence to take the next step in development for large-scale testing of a utility scale oxy-coal fired Project.  The Project incorporates the best technological thinking for the repowering of an existing electric utility plant with a modern oxy-fired pulverized coal (PC) boiler, environmental control equipment, an air separation unit (ASU) and a compression and purification unit (CPU developed by AL Engineering & Construction Cryogenics).  With the large population of PC boilers presently in use in utility scale electric generating plants, the successful test of the oxy-combustion PC technology will confirm the viability of repowering a potentially large population of existing coal fired electric generating facilities with the oxy-combustion technology and will prove the worthiness of the oxy-technology for new plant applications.  ","589,744,000",510334654,RECOVERY ACT: FUTUREGEN 2.0 - OXY-COMBUSTION LARGE SCALE TEST,"The  Alliance?s Oxy&#8208;Combustion Power Plant Project Team completed a number of significant Achievements and performed numerous activities, the details of which are listed in the body of this report.A. Program Development and Management :Completed the development of the Project Feed Deliverables and presented the package to the DOE on December 17, 2013 in Pittsburgh. Completed condenser and feedwater heater site assessment scope and will receive the final report in early January 2014. B. Legal:There was a continued effort to develop the Engineering, Procurement and Construction contracts (EPC) with term sheet refinement for the Phase 3 scope. The Operation and Maintenance contracts (O&M) have also advanced during the period and will continue to fully develop. C. NEPA and Permitting: IEPA issued the air construction permit and the modified NPDES permit for the project. D. Boiler/Steam Generator Island: Completed the feed deliverables, complete convection pass enclosure design and steam/water piping design within the boiler, completed E. Gas Quality Control System (GQCS): Completed the feed deliverables, completed &#8208;1 equipment list, completed &#8208;1 instrument list, completed Expansion joint calcs, completed CDS design and final loads. F. Air Separation Unit (ASU): Completed the Feed Deliverables, completed basic design requirements for, instrumentation list, valve list, set of P&ID, control architecture, one line diagram, electrical specification?s, specialty item list , hazardous area classification, completed set of P&ID: AFD status, completed set of PFD: AFD status G. C02 Compression and Purification Unit (CPU): Completed the Feed Deliverables, completed basic design requirements for ,instrumentation list, valve list, set of P&ID, control architecture, one line diagram, electrical specification?s, specialty item list , hazardous area classification. ",Less Than 50% Completed,"The following jobs were created during this period with money received from the DOE:  Accountant,  Draftsperson, Engineer, Financial Analyst, Procurement, Project Controls, Project Environmental Manager, Project Manager,  Scientist, Secretary, Training Supervisor, Union Labor.","450,564.60",1308.9,37691795.31,37691795.31,0,,IL,US,Meredosia,39.83047702,-90.56137938,
51423,Department of Energy,8900,Department of Energy,89-0331,,2013,4,null,Grant,5/1/2009,"The State Energy Conservation Office (SECO) will provide grants on a competitive basis to eligible public entities in Texas to promote energy conservation and efficiency and reduce energy demand. DOE has approved SECO's State Energy Program (SEP) application for the following 6 program areas: Building Efficiency and Retrofit, Transportation Efficiency, Distributed Renewable Energy Technology, Energy Sector Training Centers, Texas Cool Schools and Public Education and Outreach. The Building Efficiency and Retrofit Program is intended to increase the energy efficiency of public sector buildings statewide in order to create/retain jobs, reduce energy consumption, reduce greenhouse gas emissions, increase energy cost savings, and install commercially-available renewable energy through a revolving loan program. Measurables include jobs created/retained, public buildings retrofitted, and square footage of public buildings retrofitted. The Transportation Efficiency Program is intended to create/retain jobs, increase transportation efficiency, reduce greenhouse emissions, and reduce dependence on foreign oil through a competitive grants process. Measureables under this program include jobs created/retained, number of alternative fuel vehicles purchased, number of alternative fueling stations emplaced, number of energy efficient traffic signals installed, and street lane-miles synchronized where signals were installed. The Distributed Renewable Energy Technology Program is designed to increase the amount of installed renewable energy technologies such as biomass, geothermal, solar, wind, and water (hydro). Measureables under this program include jobs created/retained, number of solar systems installed, size of solar systems installed (kW), number of wind systems installed, size of wind systems installed (kW), number of Other systems installed, and size of Other systems installed (kW). The Energy Sector Training Center Program is intended to foster job creation/retention and to provide Texans the expertise they need to obtain employment to meet the growing demands in the energy efficiency and renewable energy industries. SECO will partner with the Texas Workforce Commission to provide funding for the purchase of energy sector training equipment. Measureables under this program include jobs created/retained, number of workshops, training and educational sessions, and the number of people attending those sessions. The newest program, Texas Cool Schools HVAC Replacement program, is intended to help our state?s schools lower their operating costs by purchasing new and more energy-efficient heating, ventilation and air conditioning (HVAC) systems. The Public Education and Outreach Program will develop and deploy an enhanced and focused outreach and education campaign to encourage renewable energy use and support energy efficiency efforts that will contribute to energy savings, emissions reductions, cost savings, and job creation/retention. This broad statewide campaign will provide a unified and credible source of energy information to the widest possible audience to amplify existing energy outreach and education efforts taking place across the state. Measureables under this program include jobs created/retained, brand creation, expanding web resources, developing online tools, and launching education and outreach strategies. ","218,782,000",89216389.32,Recovery Act - State Energy Program (SEP) for the State of Texas,"SECO?s SEP grant agreement with DOE ended on September 30, 2013.  The DOE Buy American team communicated with SECO regarding the noncompliance issue at City of San Antonio.  DOE determined ?that the subject solar panels remain in place and that the grant value not be reduced? in a letter dated June 7, 2013. The ?number of jobs? reported is a summation of all jobs reported on previous reports.    There were ?0? jobs created in this final reporting quarter.   This Final Report was prepared so that it included any funds distributed after the September 30, 2013 time frame.  All non-compliance issues were resolved.  Any remaining  balance of funds on the grant will be deobligated.",Completed,"Information Technology, Engineering, Administrative, Marketing, Installers","172,813.59",1266,218782000,218782000,0,,TX,US,Austin,30.278534,-97.738269,
119673,Office of Elementary and Secondary Education,9146,Office of Elementary and Secondary Education,91-1909,,2013,4,1,Grant,9/27/2010,"The purpose of the Race to the Top Fund is to encourage and reward States that are creating the conditions for education innovation and reform; achieving significant improvement in student outcomes; and implementing ambitious plans in the four core education reform areas:  achieving equity in teacher distribution, improving collection and use of data, raising standards and assessments, and supporting struggling schools.                                           Florida Interim Assessment Item Bank and Test Platform: Florida's goal is to have interim assessment resources in all schools by 2013-14 and the contractor is on target to deliver.                                                                                                                                                                    Centralized Portal with Single Sign-On:  Florida's target was to have 53% of Local Education Authorities (LEA's) integrated by the end of Year 3. 100% integration was achieved in fall 2013. Florida met its target of having two applications on-line during Year 3 and will integrate four additional applications by end of the grant.                                                                                                                                                                                                   Local Instructional Improvement System (LIIS):  All LEA's must have an LIIS in place by 6/30/2014 per the grant and Florida state law.                             Recruiting Promising Teachers:  Miami-Dade County Public Schools and Duval County Public Schools are on track to meet the goal of 800 teachers recruited, trained and placed by the end of the grant. ","700,000,000",260832526.6,Race to the Top (RTT),"Major accomplishments this quarter include:   • LEA No Cost Extension Requests were submitted, reviewed, and approved. LEA's submit qtrly deliverables against the timeline in their SOW.  • Florida Interim Assessment Item Bank and Test Platform o Item tryouts completed for the Florida Interim Assessment Item Bank and Test Platform (IBTP). FL's goal is to have interim assessment resources in all schools by 2013-14 and contractor expected to deliver.   • Centralized Portal with Single Sign-On o Seventy-three (73) LEAs integrated into the state’s SSO solution. These districts can access a maximum of 3 statewide resources (CPALMS, Florida School Leaders, and eIPEP).  Training tutorials and training provided for SSO users. FL's target was to have 53% of LEA's integrated by the end of  Yr3. 100% integration achieved in fall 2013. FL met target of 2 applications available during Yr3 and will have 4 more applications by end of grant. • Local Instructional Improvement System o The fall 2013 LIIS annual survey completed by all school districts.  Statewide report of LIIS data to be shared prior to 12/2013.  Individual LEA reports to be shared with school districts prior to February 2014. Approximately 45 small/rural districts receiving additional grant dollars to acquire an LIIS completed  grants by 12/31/13. All LEA's must have LIIS in place by 6/30/14 per the grant. • Recruiting Promising Teachers o As of 12/18/13, 77 corps members recruited and committed to teach in Miami-Dade County Public Schools (MDCPS) for 2014-15 school year.  Of the 77, 79% registered to take Florida’s General Knowledge Exam and their subject area exam.  In Duval County Public Schools (DCPS), 33  committed to teach in Jacksonville in 2013-14.  Two more application periods coming, with a major deadline in January. Both LEA's expect to meet goal of 800 teachers recruited, trained and placed by end of grant.  • Standards Professional Development o Approximately 200 LEA staff trained on the EQuIP rubric. ",More than 50% Completed,"The jobs created include: instructional staff positions (e.g., reading coaches) that provide support to the state's lowest performing schools via the state's regional network; administrative positions at the Florida Department of Education to assist in the statewide implementation of Florida's RTTT grant; and instructional positions, including those for curriculum development and training, at the school district level to implement their local RTTT plans. ","573,319.36",1220.96,366318644.4,366328074.7,0,,FL,US,Tallahassee,30.43547181,-84.28472447,
113074,Department of Defense (except military departments),21CE,"U.S. Army Corps of Engineers, except civil program financing",97-0501,,2013,4,null,Contract,9/10/2010,"As part of the Department of Defense-Medical, Hospital Replacement Program (RP# 74650, P2# 322898) on the Fort Hood Hospital Replacement at Fort Hood/Killeen, Texas, the object of this project is to design and construct a complete new medical center with approximately 947,000 square feet to replace the existing Ft Hood Hospital, including construction of a new central utility plant. Construction will be located on the athletic field site adjacent to the existing hospital campus. Primary facilities will include the complete hospital replacement, consisting of all inpatient services, the ambulatory and outpatient clinics, ancillary services, emergency department, ambulance garage, building information systems and special foundations, utilizing 'Evidence-Based Design'. Supporting facilities will include site work, parking, and utilities as stated in the Conformed Statement of Work and in accordance with the Conformed Terms and Conditions contained in RFP W9126G-10-R-0001.","543,950,127",543950127,,"Central Utility Plant:  Start-up of mechanical and electrical systems continues. Interior finishes continue in the administrative area. Hospital and Clinics:  The interstitial building system is complete.  In-wall rough-in of electrical, plumbing, and low voltage systems has completed in the west clinic, and is ongoing in the north clinic and hospital, and has begun in the south clinic.  Elevator installation has begun.  Interior metal framing and door frame installation continues in the hospital and clinics.  Drywall installation continues in the west clinic and hospital.  Painting has begun in the west and north clinics.  Windows continue to be installed in the precast panels and the curtain wall framing and glazing continues.  Roofing installation continues on the hospital and clinics. Site and Garages:  The concrete structure continues at the hospital parking garage.  Concrete foundation work has completed at the staff and clinic garages and the concrete structure has begun. ",More than 50% Completed,"The project currently has architects/designers, design consultants and draftsmen,  administrative assistants, managers, safety, quality and supervisory staff, equipment operators, mechanics, electricians, pipelayers, laborers,  carpenters, reinforcing steel installers, waterproofing installers, concrete finishers, structural steel erectors, masons, plumbers, fire sprinkler installers, sheet metal installers, metal framing installers, drywall installers, painters, insulators, door and hardware installers, fire alarm installers, building automation controls installers and technicians, welders,  fireproofing installers, roofers, kitchen equipment installers, elevator mechanics and iron workers.","540,168.94",1007,366487000,,,,TX,US,Fort Hood,31.1484312,-97.64546407,
128169,Federal Financing Bank,8900,Department of Energy,89-4576,,2013,4,1,Loan,9/12/2011,"This $1,124,110,000 loan award plus $42,562,000 of projected capitalized interest costs will provide approximately 77% of the construction funding of the Project's eligible costs, of which approximately $830,474,000 will remain in place as long-term funding for Abengoa Solar LLC's (ASL) Mojave Solar Project (MSP).  MSP will be one of the world's largest parabolic trough concentrating solar power plants.  Located near the city of Hinkley in California's Mojave Desert, the 250-megawatt (MW) project will operate on solar energy only, with no supplemental fossil fuel contribution.  The technology is based on the same parabolic trough system that has been proven over a period of nearly 25 years at the Solar Electric Generating Systems (“SEGS”) facilities located nearby at three locations in the Mojave Desert.  ASL will further enhance the proven performance of this technology through advancements in plant efficiency factors, O&M practices and the incorporation of new and significantly improved components and design.  The Project will be designed to produce clean, solar electricity by means of an integrated process using solar energy to heat a synthetic petroleum-based fluid in a closed-loop system that, in turn, heats water to create steam to drive a conventional steam turbine.  MSP is projected to generate more than 617,000 MWh (net) of solar-generated electricity each year, enough to provide for the annual energy needs of more than 88,000 California residential households while avoiding more than 430 kilotons of greenhouse gases that would otherwise contribute to global warming and climate change.  The Project will cover a surface area of approximately 1,750 acres on previously disturbed agricutural land and its construction will create thousands of jobs, including approximately 830 construction jobs on average over a 28-month construction period, and 70 full-time jobs once completed.  The Full Notice to Proceed was issued effective March 7, 2012, the first day that funding from this award was received.","1,124,110,000",1124110000,LGPO - Mojave Solar Project,"The primary use of LPO loan will be for the construction of the Project. The Global Progress of the Mojave Solar Project (MSP) at December 31, 2013, is 85.9%.  MSP began limited construction (clearing, grading, fencing and staging for the solar field foundations) August 29, 2011 and continued with these activities and the installation of solar field foundations and removal of above ground structures through March 7, 2012.  Mojave Solar LLC, received its first DOE funding on March 7, 2012, starting the Full Notice to Proceed for construction.  Loan advances are being made primarily to provide for the engineering, procurement and construction of MSP.    At the end of the 4th Quarter of 2013, the status of the major EPC activity completion is as follows:    Completed construction items: Earthworks; Drainage Work; SF Collector Assembly Building; Major Equipment Foundations; Cooling Towers and FPS; Field Fabricated Tanks; on-site Transmission Lines, Metering and Substations; SF Collector installation; Solar Field Wiring and Controls; Evaporation Ponds; Administration and Control Buildings; Power Block Drainage Systems; and SF Loop End Connections and SF Main Header Prefabrication.  Status of other Major Construction Items: Engineering and Design 98.8%; Purchasing 99.9%; Manufacture and Supply 99.7%; Construction 79.9%; Startup and Commissioning 7.7%.  During Q4 2013, the major activities completed were the Administration and Control Buildings; CAISO and Retail Metering installation and backfeed interconnection; SF Loop End and Main Header Prefabrication; and Power Block Drainage System. The expected completion date of the project is mid-2014.  All major and long lead equipment and materials (steam generators, transformers, steam turbine generators, absorber tubes, piping, power block equipment, mirror panels, hydraulic drives, HTF pumps, HTF Fluid, etc.) have been ordered and have either been delivered or scheduled for delivery to meet MSP’s completion date.",More than 50% Completed,"Construction Jobs Created:  Boilermakers (Total-36.00: FTE-15.61);  Carpenters (Total-299.00: FTE-68.07);  Cement Masons (Total-86.00: FTE-16.33);  Electricians (Total-63.00: FTE-17.21);  Welders (Total-43.00: FTE-17.87);  Inside Wiremen (Total-18.00: FTE-5.04);  Ironworkers (Total-211.00: FTE-49.97);  Laborers (Total-265.00: FTE-58.96);  Millwrights (Total-29.00: FTE-14.32);  Owner Operators (Total-10.00: FTE-3.15);  Pipefitters (Total-360.00: FTE-157.86);  Plumbers/Pipefitters/Steamfitters (Total-81.00: FTE-70.05);  Power Equipment Operators (Total-117.00: FTE-33.83);  Sheet Metal Workers (Total-5.00: FTE-0.47);  Soft Floor Layers (Total-5.00: FTE-1.54);  Sprinkler Fitters (Total-7.00: FTE-3.78);  Transmission Line Constructors (Total-2.00: FTE-0.09);  Truck Drivers (Total-52.00: FTE-18.30)  Direct Support (Engineers, PM, Office, Foremen) (Total-499.00: FTE-188.65); Survey Personnel (Total-2.00: FTE-0.53);   Quality Control Personnel (Total-4.00: FTE-0.61)  Total Construction Jobs Created this Quarter: 2194.00  FTE Construction Jobs Created this Quarter: 742.24  Non-Construction Jobs Created:  Associate Attorneys (Total-1.00: FTE-0.02);  Civil QA/QC Supervisors (Total-1.00: FTE-0.88);  Compliance Directors (Total-1.00: FTE-0.82);  Compliance Reporting Assistants (Total-1.00: FTE-0.94);  Construction Supervision Directors (Total-1.00: FTE-0.88);  Construction Supervision Deputy Directors (Total-1.00: FTE-0.83);  Document Control Specialists (Total-2.00: FTE-1.31);  Electrical Engineers (Total-1.00: FTE-0.71);  Fire Specialists (Total-1.00: FTE-0.52);  IHS Supervisors (Total-1.00: FTE-0.85);  Mechanical Engineers (Total-2.00: FTE-1.00);  Mechanical QA/QC Supervisors (Total-1.00: FTE-0.72);  O&M Managers (Total-1.00: FTE-0.31);  O&M Project Managers (Total-1.00: FTE-0.77); Operations Managers (Total-1.00: FTE-0.60); Optical Engineers (Total-1.00: FTE-0.04); Performance Engineers (Total-1.00: FTE-0.21); Permit Directors (Total-1.00: FTE-0.85); Project Managers (Total-1.00: FTE-0.75); Purchasing and Logistics Specialists (Total-1.00: FTE-0.62); VP Business Managements (Total-1.00: FTE-0.05);   Total Non-Construction Jobs Created this Quarter: 27.00  FTE Non-Construction Jobs Created this Quarter: 14.89","1,484,698.80",757.13,1018718390,1018718390,1018718390,"Abengoa Solar LLC's (ASL) Mojave Solar Project (MSP) will be one of the world's largest parabolic trough concentrating solar power plants.  Located near the city of Hinkley in California's Mojave Desert, the 250 (net) megawatt (MW) project will operate on solar energy only, with no supplemental fossil fuel contribution.  The technology is based on the same parabolic trough system that has been proven over a period of nearly 25 years at the Solar Electric Generating Systems (“SEGS”) facilities located nearby at three locations in the Mojave Desert.  ASL will further enhance the proven performance of this technology through advancements in plant efficiency factors, O&M practices and the incorporation of new and significantly improved components and design.  The Project will be designed to produce clean, solar electricity by means of an integrated process using solar energy to heat a synthetic petroleum-based fluid in a closed-loop system that, in turn, heats water to create steam to drive a conventional steam turbine.  Upon completion in mid-2014, MSP is projected to generate more than 617,000 MWh (net) of solar-generated electricity each year, enough to provide for the annual energy needs of more than 88,000 California residential households while avoiding more than 435 kilotons of greenhouse gases that would otherwise contribute to global warming and climate change.  The Project will cover a surface area of approximately 1,750 acres on previously disturbed agricultural land and its construction will create thousands of jobs, including approximately 830 construction jobs on average over a 28-month construction period, and 70 full-time jobs once completed. The direct and indirect jobs created by the project will be located primarily in California and in neighboring states.  The construction of this project will also result in the construction of a new substation and a major transmission network upgrade that will eventually become part of the CAISO transmission system and benefit the residents of California and the surrounding states.",CA,US,Hinkley,35.015667,-117.330325,
